date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-31 05:00:00,176.67,176.86,176.67,176.78,11194.0,-0.2877,177.1838,44.5836,178.08489478505697,177.1838,176.282705214943
2023-05-31 05:15:00,176.78,176.79,176.71,176.76,769.0,-0.2596,177.1608,44.298,178.20830364287335,177.1608,176.11329635712664
2023-05-31 05:30:00,176.75,176.95,176.62,176.9,3816.0,-0.189,177.1441,46.8081,178.2489255684968,177.1441,176.03927443150323
2023-05-31 05:45:00,176.91,176.91,176.73,176.77,1272.0,-0.2821,177.1191,44.8334,178.22330919492697,177.1191,176.01489080507304
2023-05-31 06:00:00,176.77,176.86,176.77,176.81,2629.0,-0.2792,177.0943,45.577,178.23536105538955,177.0943,175.95323894461046
2023-05-31 06:15:00,176.8,176.86,176.72,176.8,8634.0,-0.2764,177.0698,45.4159,178.24645793146638,177.0698,175.8931420685336
2023-05-31 06:30:00,176.74,176.98,176.72,176.9,5711.0,-0.2031,177.0518,47.3741,178.23901215334078,177.0518,175.8645878466592
2023-05-31 06:45:00,176.87,177.48,176.87,177.29,18050.0,0.0903,177.0598,54.1295,178.27058547603218,177.0598,175.8490145239678
2023-05-31 07:00:00,177.39,177.51,177.16,177.3,27653.0,0.0339,177.0628,54.2879,178.37160017862453,177.0628,175.7539998213755
2023-05-31 07:15:00,177.3,177.4,177.24,177.25,6685.0,0.0214,177.0647,53.319,178.45536710230718,177.0647,175.6740328976928
2023-05-31 07:30:00,177.25,177.37,177.04,177.11,12043.0,-0.1297,177.0532,50.6543,178.49359941624846,177.0532,175.61280058375155
2023-05-31 07:45:00,177.15,177.16,176.93,177.08,26709.0,-0.1635,177.0387,50.0897,178.5052097918383,177.0387,175.57219020816171
2023-05-31 08:00:00,177.282,177.51,176.34,176.79,64144.0,-0.3916,177.004,44.987,178.4543952613004,177.004,175.5536047386996
2023-05-31 08:15:00,176.77,178.555,176.67,176.77,25500.0,-0.4954,176.96,44.6567,178.34951993012896,176.96,175.57048006987105
2023-05-31 08:30:00,176.78,177.109,176.76,176.995,31234.0,-0.3855,176.9257,49.0831,178.3035646518433,176.9257,175.54783534815672
2023-05-31 08:45:00,176.99,177.3,176.8,176.83,31652.0,-0.4728,176.8837,46.229,178.19350366859388,176.8837,175.57389633140613
2023-05-31 09:00:00,176.83,176.92,176.67,176.84,43604.0,0.1132,176.8937,46.4277,178.10106671123938,176.8937,175.6863332887606
2023-05-31 09:15:00,176.82,177.39,176.52,177.35,108379.0,0.3963,176.9287,55.2974,177.94170486999712,176.9287,175.91569513000286
2023-05-31 09:30:00,177.325,178.25,177.05,178.1,4068496.0,0.8722,177.0057,64.4171,177.82806453476678,177.0057,176.1833354652332
2023-05-31 09:45:00,178.1,179.09,177.92,178.95,4232187.0,1.2791,177.1187,71.3821,177.87946425944702,177.1187,176.35793574055296
2023-05-31 10:00:00,178.97,179.35,177.27,178.5,4343055.0,0.973,177.2047,64.3615,177.9692652137355,177.2047,176.4401347862645
2023-05-31 10:15:00,178.5,178.75,177.72,177.895,2506291.0,0.6421,177.2615,56.4976,178.01780760781142,177.2615,176.5051923921886
2023-05-31 10:30:00,177.9,178.059,177.42,177.711,1968447.0,0.4585,177.302,54.3709,178.01759233304114,177.302,176.58640766695885
2023-05-31 10:45:00,177.71,178.43,177.71,178.34,2287037.0,0.8882,177.3805,59.8142,177.95809668538473,177.3805,176.8029033146153
2023-05-31 11:00:00,178.35,178.6,178.1,178.11,2072155.0,0.7353,177.4455,57.1883,178.10601311878727,177.4455,176.78498688121275
2023-05-31 11:15:00,178.11,178.364,178.06,178.32,1435850.0,0.8597,177.5215,58.9216,178.44570532070884,177.5215,176.59729467929117
2023-05-31 11:30:00,178.325,178.555,178.24,178.455,1496567.0,0.879,177.5993,60.0169,178.71534343486726,177.5993,176.48325656513273
2023-05-31 11:45:00,178.46,179.07,178.445,178.87,1842146.0,0.8912,177.6783,63.1929,178.9137853728008,177.6783,176.44281462719923
2023-05-31 12:00:00,178.875,179.04,178.65,178.725,1309608.0,0.8037,177.7495,61.3992,179.078809417501,177.7495,176.42019058249903
2023-05-31 12:15:00,178.73,178.86,178.6,178.743,1064774.0,0.8423,177.8242,61.5418,179.2321761141378,177.8242,176.4162238858622
2023-05-31 12:30:00,178.75,179.0,178.64,178.67,1173631.0,0.8808,177.9022,60.586,179.3586978725017,177.9022,176.4457021274983
2023-05-31 12:45:00,178.665,178.865,178.46,178.73,1250790.0,0.9318,177.9847,61.1086,179.47014709436095,177.9847,176.49925290563905
2023-05-31 13:00:00,178.74,178.85,178.575,178.76,950384.0,1.1143,178.0832,61.3781,179.59616799824457,178.0832,176.57023200175544
2023-05-31 13:15:00,178.76,178.89,178.56,178.89,905599.0,1.1993,178.1892,62.5615,179.72724618025615,178.1892,176.65115381974385
2023-05-31 13:30:00,178.9,179.3,178.74,179.011,1881889.0,1.139,178.29,63.6527,179.8297037289907,178.29,176.7502962710093
2023-05-31 13:45:00,179.01,179.11,178.9,179.06,1136645.0,1.2611,178.4015,64.0988,179.90199887180742,178.4015,176.90100112819258
2023-05-31 14:00:00,179.065,179.28,178.815,179.259,1261767.0,1.3679,178.5224,65.8883,179.96646838337858,178.5224,177.07833161662143
2023-05-31 14:15:00,179.27,179.29,178.95,179.17,1604625.0,1.0262,178.6134,64.3776,179.95865258393601,178.6134,177.268147416064
2023-05-31 14:30:00,179.17,179.2,178.85,179.0,1100811.0,0.5053,178.6584,61.5405,179.87058345357136,178.6584,177.44621654642864
2023-05-31 14:45:00,179.0,179.1,178.55,178.75,1436476.0,-0.1118,178.6484,57.6104,179.72026979874542,178.6484,177.5765302012546
2023-05-31 15:00:00,178.76,178.79,178.292,178.515,1705522.0,0.0084,178.6492,54.1864,179.5983480698208,178.6492,177.70005193017923
2023-05-31 15:15:00,178.51,178.73,178.4,178.718,1493722.0,0.4626,178.6903,56.5354,179.55207201566435,178.6903,177.82852798433566
2023-05-31 15:30:00,178.72,179.26,178.62,179.15,1804246.0,0.8097,178.7623,61.0132,179.49359163546737,178.7623,178.03100836453265
2023-05-31 15:45:00,179.15,179.3,176.76,177.42,13351847.0,-0.5159,178.7163,42.5394,179.01782996799832,178.7163,178.41477003200166
