date,open,high,low,close,volume,ROC,SMA,RSI,Real Upper Band,Real Middle Band,Real Lower Band
2023-05-31 06:00:00,261.75,261.75,261.5,261.52,1675.0,-0.5173,262.3832,40.972,264.0273715609005,262.3832,260.73902843909946
2023-05-31 06:15:00,261.6,261.62,261.15,261.34,3052.0,-0.5026,262.3172,40.0423,264.1450891731384,262.3172,260.48931082686164
2023-05-31 06:30:00,261.25,261.61,261.01,261.58,2405.0,-0.3998,262.2647,41.8928,264.1488670935174,262.2647,260.3805329064826
2023-05-31 06:45:00,261.52,262.34,261.52,262.33,3630.0,-0.1028,262.2512,47.2484,264.1366044314714,262.2512,260.36579556852854
2023-05-31 07:00:00,262.34,262.73,261.82,262.1,14880.0,-0.2474,262.2187,45.8832,264.1186870787592,262.2187,260.31871292124083
2023-05-31 07:15:00,262.08,262.26,261.8,262.14,10005.0,-0.1942,262.1932,46.168,264.10519846339196,262.1932,260.281201536608
2023-05-31 07:30:00,262.01,262.1,261.25,261.25,5014.0,-0.5709,262.1182,41.103,264.0301503517103,262.1182,260.2062496482897
2023-05-31 07:45:00,261.18,261.39,260.7,261.0,13159.0,-0.5979,262.0398,39.8115,263.9457379346041,262.0398,260.13386206539593
2023-05-31 08:00:00,262.0,263.42,260.38,261.0,44935.0,-0.7416,261.9422,39.8115,263.8001332339433,261.9422,260.0842667660567
2023-05-31 08:15:00,261.0,268.5,260.62,260.9,13356.0,-0.9454,261.8178,39.2647,263.66815900547954,261.8178,259.9674409945204
2023-05-31 08:30:00,260.82,260.98,260.56,260.85,9729.0,-0.8759,261.7025,38.9829,263.46473902768037,261.7025,259.9402609723196
2023-05-31 08:45:00,260.82,262.52,260.0,260.3,51460.0,-1.1694,261.5485,35.992,263.30443296540153,261.5485,259.79256703459845
2023-05-31 09:00:00,260.32,260.87,260.19,260.6,14089.0,-0.3708,261.5,38.6927,263.2542449751346,261.5,259.7457550248654
2023-05-31 09:15:00,260.6,261.39,259.77,260.14,33835.0,-0.6227,261.4185,36.2257,263.0689197672785,261.4185,259.7680802327215
